வகுப்பு,இயல்,கேள்வி,முழுமையான வாக்கியம் (விடை),கலைக்கப்பட வேண்டிய சொற்கள்
6-ஆம் வகுப்பு,இயல் 1,பாரதிதாசன் கவிதைகள் எதன் மீது பற்று கொண்டவை?,பாரதிதாசன் கவிதைகள் தமிழ்மொழி மீது பற்று கொண்டவை.,தமிழ்மொழி
6-ஆம் வகுப்பு,இயல் 1,தமிழ்க்கும்மி பாடல் இடம்பெற்றுள்ள நூல் எது?,தமிழ்க்கும்மி பாடல் இடம்பெற்றுள்ள நூல் கணிச்சாறு ஆகும்.,கணிச்சாறு
6-ஆம் வகுப்பு,இயல் 1,கணிச்சாறு நூலின் ஆசிரியர் யார்?,கணிச்சாறு நூலின் ஆசிரியர் பெருஞ்சித்திரனார் ஆவார்.,பெருஞ்சித்திரனார்
6-ஆம் வகுப்பு,இயல் 1,தமிழ் மொழியில் கிடைக்கப்பெற்ற பழமையான இலக்கண நூல் எது?,தமிழ் மொழியில் கிடைக்கப்பெற்ற பழமையான இலக்கண நூல் தொல்காப்பியம் ஆகும்.,தொல்காப்பியம்
6-ஆம் வகுப்பு,இயல் 1,உழவர்' என்ற சொல் இடம்பெற்றுள்ள பழந்தமிழ் நூல் எது?,உழவர்' என்ற சொல் இடம்பெற்றுள்ள பழந்தமிழ் நூல் நற்றிணை ஆகும்.,நற்றிணை
6-ஆம் வகுப்பு,இயல் 1,பாம்பு' என்ற சொல் இடம்பெற்றுள்ள நூல் எது?,பாம்பு' என்ற சொல் இடம்பெற்றுள்ள நூல் குறுந்தொகை ஆகும்.,குறுந்தொகை
6-ஆம் வகுப்பு,இயல் 1,வேளாண்மை' என்ற சொல் இடம்பெற்றுள்ள நூல் எது?,வேளாண்மை' என்ற சொல் இடம்பெற்றுள்ள நூல் திருக்குறள் ஆகும்.,திருக்குறள்
6-ஆம் வகுப்பு,இயல் 1,"நிலம், தீ, நீர், வளி, விசும்போடு ஐந்தும் கலந்த மயக்கம் உலகம் எனக் கூறியவர் யார்?","நிலம், தீ, நீர், வளி, விசும்போடு ஐந்தும் கலந்த மயக்கம் உலகம் எனக் கூறியவர் தொல்காப்பியர்.",தொல்காப்பியர்
6-ஆம் வகுப்பு,இயல் 1,கடல் நீர் ஆவியாகி மேகமாகும் அறிவியலைக் கூறும் பழந்தமிழ் நூல் எது?,கடல் நீர் ஆவியாகி மேகமாகும் அறிவியலைக் கூறும் பழந்தமிழ் நூல் முல்லைப்பாட்டு ஆகும்.,முல்லைப்பாட்டு
6-ஆம் வகுப்பு,இயல் 1,வீரர் ஒருவரின் காயத்தை வெண்ணிற ஊசியால் தைத்த செய்தி இடம்பெறும் நூல் எது?,வீரர் ஒருவரின் காயத்தை வெண்ணிற ஊசியால் தைத்த செய்தி இடம்பெறும் நூல் பதிற்றுப்பத்து ஆகும்.,பதிற்றுப்பத்து
